Conta;Classificação;C5;01/03/2025;01/04/2025;01/05/2025;01/06/2025;01/07/2025;01/08/2025;01/09/2025;01/10/2025;01/11/2025;01/12/2025;01/01/2025;01/02/2025
1111;Despesas Administrativas fixas;1111 - Seguros;-3.182 ;-3.330 ;-3.488 ;-3.330 ;-3.805 ;-3.488 ;-3.647 ;-3.747 ;-3.360 ;-3.122 ;-2.787 ;-2.499 
1112;Despesas Administrativas fixas;1112 - Correios e Malotes; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1113;Despesas Administrativas fixas;1113 - Jornais, Revistas e Periodicos; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1114;Despesas Administrativas fixas;1114 - Despesas com Analises; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1115;Despesas Administrativas fixas;1115 - Equipamento de Protecao Individual - EPI; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1117;Despesas Administrativas fixas;1117 - Material de Escritorio; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1118;Despesas Administrativas fixas;1118 - Fretes e Carretos; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;-1.044 
1119;Despesas Administrativas fixas;1119 - Material de Consumo; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1120;Despesas Administrativas fixas;1120 - Fretes Pessoa Fisica; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1121;Despesas Administrativas fixas;1121 - Alugueis e Locacoes;-6.782 ;-7.097 ;-7.435 ;-7.097 ;-8.111 ;-7.435 ;-7.773 ;-7.987 ;-7.161 ;-6.655 ;-7.932 ; -   
1122;Despesas Administrativas fixas;1122 - Farmacia; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1123;Despesas Administrativas fixas;1123 - Propaganda e Publicidade; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1124;Despesas Administrativas fixas;1124 - Despesas de Veiculos Administrativos; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
1126;Despesas Administrativas fixas;1126 - Mensalidades e Anuidades; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
